competition_id,competition_name,country_name
9,1. Bundesliga,Germany
1267,African Cup of Nations,Africa
16,Champions League,Europe
223,Copa America,South America
87,Copa del Rey,Spain
37,FA Women's Super League,England
1470,FIFA U20 World Cup,International
43,FIFA World Cup,International
135,Frauen Bundesliga,Germany
1238,Indian Super league,India
11,La Liga,Spain
182,Liga F,Spain
81,Liga Profesional,Argentina
7,Ligue 1,France
44,Major League Soccer,United States of America
116,North American League,North and Central America
49,NWSL,United States of America
2,Premier League,England
12,Serie A,Italy
131,Serie A Women,Italy
55,UEFA Euro,Europe
35,UEFA Europa League,Europe
53,UEFA Women's Euro,Europe
72,Women's World Cup,International
